ax,ay,az,gx,gy,gz
-0.2179, -0.3427, -0.9031, 21.1890, 18.2146, -16.2409
-0.1893, -0.3291, -0.9015, 23.5061, 19.6171, -17.0335
-0.1634, -0.3333, -0.8732, 23.6890, 18.7024, -18.2530
-0.1441, -0.3366, -0.8770, 22.2866, 20.3488, -18.4360
-0.1164, -0.3501, -0.8864, 19.9085, 19.6171, -18.4360
-0.0935, -0.3530, -0.9033, 16.6159, 16.5683, -18.0701
-0.0643, -0.3769, -0.8768, 13.5061, 16.5683, -16.4848
-0.0602, -0.3803, -0.8765, 10.0915, 16.9951, -13.9848
-0.0350, -0.3999, -0.8843, 7.1037, 19.1902, -11.0579
-0.0037, -0.3996, -0.8784, 4.5427, 17.9098, -9.4726
-0.0059, -0.4149, -0.8794, 1.0671, 11.6293, -8.5579
-0.0314, -0.4086, -0.8809, -0.5793, 11.7512, -8.6189
-0.0297, -0.4227, -0.9000, -0.6402, 13.3366, -8.8628
-0.0177, -0.4133, -0.9058, 0.5793, 8.7024, -10.0823
-0.0082, -0.4246, -0.8920, 1.7988, 3.8854, -11.1799
-0.0372, -0.4325, -0.8522, 0.4573, -3.0659, -13.9238
-0.0504, -0.4273, -0.8773, -0.2744, -5.8707, -18.1921
-0.0359, -0.4098, -0.9044, -0.2134, -9.2244, -19.1067
-0.0562, -0.4020, -0.9017, 1.1280, -18.0049, -23.3750
-0.0906, -0.4026, -0.8990, 1.9207, -19.4683, -27.3994
-0.1049, -0.3812, -0.9280, 2.7744, -9.4073, -28.0701
-0.0778, -0.3687, -0.9359, 4.5427, -2.8829, -28.5579
-0.0411, -0.3679, -0.9253, 6.3110, -2.5780, -28.9848
-0.0574, -0.3783, -0.9285, 7.2866, 0.3488, -29.1677
-0.0494, -0.3883, -0.9448, 9.4207, 4.8610, -30.5701
-0.0427, -0.3997, -0.9435, 10.2744, 7.7268, -29.2287
-0.0186, -0.3988, -0.9561, 12.8354, 14.0073, -28.9848
0.0145, -0.4140, -0.9210, 14.5427, 20.9585, -27.9482
0.0293, -0.4252, -0.9331, 16.3720, 19.4341, -28.1921
0.0602, -0.4351, -0.9249, 18.6890, 20.7756, -26.7287
0.0765, -0.4587, -0.8663, 19.9085, 21.9341, -27.6433
0.0755, -0.4945, -0.8271, 20.9451, 24.4951, -27.3994
0.0906, -0.5255, -0.7753, 21.3720, 27.1171, -26.7287
0.1282, -0.5241, -0.7269, 20.7012, 21.2634, -29.7165
0.1427, -0.5557, -0.6771, 19.4207, 6.6902, -31.1799
0.1078, -0.5031, -0.6878, 16.1280, -2.3341, -37.2165
0.0401, -0.4230, -0.7458, 12.9573, -0.1390, -47.2165
0.1896, -0.3220, -0.8019, 7.7134, 32.9707, -33.2530
0.3738, -0.2625, -0.8791, 7.8354, 44.9220, -11.6677
0.4583, -0.2427, -0.9588, 13.3232, 19.1902, 10.2226
0.3428, -0.3573, -0.8687, 18.5061, -8.1878, 21.8689
0.1539, -0.6029, -0.7145, 18.8720, -13.3707, 26.9299
0.0259, -0.8690, -0.6469, 19.2378, 2.2390, 20.8323
0.0682, -0.9597, -0.5782, 12.7744, 7.7268, 3.6982
0.0385, -0.8925, -0.5734, -10.3963, -3.1878, -29.2287
0.1286, -0.5555, -0.7332, -28.7500, -8.3707, -42.0335
0.2121, -0.1952, -1.0389, -26.0671, -5.9927, -36.0579
0.2563, -0.0170, -1.1513, -7.0427, 13.8244, -13.3750
0.2694, -0.1682, -1.0433, 11.6768, 28.3976, 10.5884
0.1218, -0.3409, -0.8453, 15.2744, 24.3732, 21.6860
0.0699, -0.4159, -0.8608, 13.7500, 31.9341, 22.1738
0.1450, -0.5100, -0.7509, 4.3598, 51.6293, 22.0518
0.2131, -0.7561, -0.6783, 4.7256, 47.0561, 24.4299
