ax,ay,az,gx,gy,gz
-0.1657, -0.4786, -0.8573, -1.9817, -5.9317, -0.0823
-0.1505, -0.4800, -0.8347, -1.2500, -8.6756, 0.1006
-0.1822, -0.4834, -0.8507, -1.3720, -10.8707, -0.2043
-0.2053, -0.4778, -0.8587, -1.0671, -11.8463, -2.1555
-0.1931, -0.4839, -0.8295, -0.8232, -9.4073, -2.2774
-0.2168, -0.4769, -0.8411, -1.3110, -6.3585, -3.0091
-0.1995, -0.4735, -0.8446, -1.4939, -6.0537, -4.0457
-0.1927, -0.4767, -0.8261, -2.7134, -9.2854, -3.7409
-0.2095, -0.4559, -0.8436, -2.7134, -9.1634, -4.5335
-0.2171, -0.4649, -0.8276, -3.0793, -4.6512, -3.6189
-0.2166, -0.4522, -0.8120, -3.9939, -2.0293, -2.1555
-0.1923, -0.4500, -0.8130, -4.4817, -2.1512, -0.1433
-0.1852, -0.4559, -0.8406, -4.3598, -4.1024, -0.5701
-0.2258, -0.4534, -0.8385, -3.2012, -3.9805, -2.2774
-0.2208, -0.4586, -0.8300, -1.3720, 4.0073, -1.9726
-0.2141, -0.4420, -0.8398, 1.3720, 7.9098, -1.7287
-0.1807, -0.4620, -0.8564, 4.4207, 5.7756, -3.4360
-0.1795, -0.4572, -0.8110, 5.8232, -0.5049, -2.0335
-0.2244, -0.4628, -0.8682, 5.3354, 2.6659, -3.8628
-0.2285, -0.4577, -0.9271, 8.2012, -1.5415, -5.9970
-0.2084, -0.4914, -0.8113, 4.9695, -0.9927, -8.8018
-0.2545, -0.4772, -0.8611, 4.7256, 17.9707, -12.2165
-0.2715, -0.4907, -0.9037, 2.8354, 29.0073, -14.8384
-0.1581, -0.4818, -0.8840, 5.5183, 36.0805, -13.6189
-0.1655, -0.4621, -0.8611, 6.3720, 35.8976, -14.2287
-0.1535, -0.4679, -0.8828, 5.7622, 37.6659, -14.4116
-0.1760, -0.4657, -0.9020, 8.5061, 40.8366, -16.9726
-0.1423, -0.4876, -0.8560, 8.9939, 60.1049, -15.3872
-0.0540, -0.4669, -0.8483, 8.9939, 64.8000, -12.0945
-0.0623, -0.4783, -0.8607, 9.6646, 57.0561, -17.3994
-0.0550, -0.4913, -0.8289, 10.1524, 66.9951, -15.1433
-0.0452, -0.5283, -0.7805, 6.7988, 84.0073, -16.1799
0.1042, -0.4968, -0.8394, 6.9207, 85.5317, -12.3994
0.1684, -0.4981, -0.8162, 8.8110, 49.6171, -14.8994
0.1450, -0.5330, -0.7971, 7.7134, 38.3976, -17.3994
0.1381, -0.5077, -0.8702, 6.1280, 36.5073, -14.0457
0.1119, -0.5371, -0.8301, 3.5061, 41.5683, -14.9604
0.1772, -0.5270, -0.8293, -1.0061, 46.9951, -13.4970
0.2717, -0.5254, -0.8334, -3.9329, 32.9098, -11.7287
0.2539, -0.5205, -0.8455, -3.9329, 11.9341, -9.7774
0.1934, -0.5144, -0.8159, -6.1890, 12.7268, -10.5091
0.1520, -0.4801, -0.8248, -8.4451, 27.1171, -8.1311
0.2252, -0.4932, -0.8157, -8.5671, 30.6537, -8.3140
0.2662, -0.5029, -0.7306, -10.0915, 25.6537, -5.7530
0.2277, -0.4750, -0.7527, -9.2988, 24.9220, -6.9116
0.2178, -0.4791, -0.7230, -7.3476, 22.3000, -7.5823
