ax,ay,az,gx,gy,gz
-0.2586, -0.4192, -0.8149, 5.3963, 33.5195, -10.5091
-0.2589, -0.4119, -0.8289, 4.4817, 32.9707, -11.8506
-0.2401, -0.4151, -0.8310, 4.0549, 32.3610, -14.1067
-0.2243, -0.4194, -0.8273, 3.2622, 30.7146, -16.3018
-0.2088, -0.4075, -0.8276, 3.0793, 28.0317, -17.2774
-0.1835, -0.4028, -0.8220, 2.1646, 23.2146, -18.3750
-0.1592, -0.3889, -0.8212, 0.6402, 17.1780, -17.4604
-0.1414, -0.3840, -0.8312, -0.8232, 11.6902, -15.9360
-0.1323, -0.3907, -0.8264, -2.2866, 9.1293, -13.8628
-0.1179, -0.3884, -0.8326, -1.3720, 7.4829, -11.6677
-0.1118, -0.3922, -0.8356, -0.3354, 7.6659, -10.2652
-0.0870, -0.3861, -0.8365, 2.8354, 4.9220, -7.7652
-0.0956, -0.3901, -0.8337, 5.0305, 2.4829, -5.3872
-0.0947, -0.3946, -0.8422, 7.0427, -2.0902, -4.2896
-0.1185, -0.3978, -0.8448, 8.0183, -4.7122, -3.2530
-0.1236, -0.4156, -0.8444, 7.2256, -7.2732, -2.2165
-0.1373, -0.4185, -0.8743, 5.7012, -9.1024, -1.2409
-0.1505, -0.4210, -0.8864, 2.7134, -7.7610, -1.4238
-0.1457, -0.4337, -0.8658, -0.5183, -4.1634, -0.1433
-0.1588, -0.4181, -0.8806, -2.1037, 0.8366, 0.0396
-0.1462, -0.4261, -0.8699, -2.1037, 8.7024, 2.9665
-0.1426, -0.4049, -0.8971, -1.6768, 8.5195, 3.4543
-0.1113, -0.4152, -0.8898, 1.0671, -1.6634, 4.3079
-0.1369, -0.4174, -0.8748, 3.0183, -11.7854, 3.4543
-0.1600, -0.4316, -0.8914, 2.3476, -12.9439, 1.3201
-0.1405, -0.4279, -0.8752, 1.8598, -11.9683, 0.7104
-0.1620, -0.4292, -0.8677, 2.2256, -7.1512, -0.7530
-0.1374, -0.4456, -0.8378, 0.2134, -4.9561, -2.9482
-0.1174, -0.4394, -0.8419, 0.2744, -5.0780, -3.4970
-0.0700, -0.4272, -0.8137, 1.3720, -4.8951, -3.6189
-0.0670, -0.4505, -0.7739, -0.3354, -14.8341, -3.0701
-0.1591, -0.4577, -0.8347, 0.4573, -29.3463, -2.8262
-0.1743, -0.4653, -0.8295, 2.0427, -33.9805, -6.5457
-0.2105, -0.4898, -0.8121, 0.7012, -41.7854, -11.7287
-0.3040, -0.4846, -0.8608, 0.9451, -39.8951, -17.1555
-0.3431, -0.4653, -0.8968, 0.4573, -32.3951, -24.8384
-0.2512, -0.4970, -0.8640, -0.8232, -25.5049, -25.3262
-0.2459, -0.4707, -0.8698, -0.3963, -24.4683, -25.7530
-0.2742, -0.4665, -0.8903, -1.0671, -18.4927, -25.0213
-0.2938, -0.5274, -0.8443, -6.6768, -18.7976, -26.2409
-0.2953, -0.5166, -0.8507, -12.1646, -24.4683, -34.5945
-0.3386, -0.5292, -0.8008, -17.5305, -28.6146, -42.6433
-0.3508, -0.5033, -0.7714, -22.4695, -37.0293, -47.0945
-0.2659, -0.4802, -0.7999, -23.2622, -50.9927, -51.4848
-0.3682, -0.4039, -0.7974, -22.4085, -57.6390, -61.4238
-0.3258, -0.3479, -0.7028, -26.9207, -61.7854, -65.8750
-0.2400, -0.2527, -0.7327, -25.7012, -57.0293, -55.6921
-0.2242, -0.1781, -0.8212, -28.2622, -57.7000, -42.0335
-0.1113, 0.0053, -1.0235, -25.2134, -35.0171, -15.7530
-0.1905, -0.0435, -1.1716, -2.4085, 2.4829, 10.4665
-0.1922, -0.2496, -1.1007, 10.2134, 31.0195, 38.4543
-0.1768, -0.3497, -1.0226, 14.4207, 25.9585, 55.8323
-0.3679, -0.5802, -0.9304, 9.8476, -17.5171, 43.0884
-0.7736, -0.7725, -0.9037, 9.2378, -27.0902, 14.4299
-0.8559, -0.8448, -0.8020, -0.1524, 6.0195, -23.8018
-0.4482, -0.6016, -0.7567, -8.0183, 24.8610, -36.2409
-0.2975, -0.4591, -0.7028, -15.3354, -3.4927, -57.9482
-0.2675, -0.2352, -0.6401, -21.6159, -11.6024, -60.6311
0.0576, 0.0458, -0.7921, -23.6890, 12.5439, -25.9970
0.3000, 0.1583, -0.8848, -12.4085, 11.0805, 22.7226
-0.1160, -0.0889, -0.8839, -1.8598, -30.3220, 24.7957
-0.3336, -0.2703, -0.8994, 8.3232, -9.8951, 50.3445
-0.3220, -0.4396, -0.9552, 5.6402, -5.5049, 48.0884
-0.4444, -0.6915, -1.0120, 1.3110, -5.4439, 48.8201
-0.7815, -0.9030, -0.9923, -1.6768, -14.4683, 5.2226
-0.7759, -0.7231, -0.9681, -3.4451, 16.8122, -29.7165
-0.5318, -0.5993, -0.8572, -6.1280, 44.4951, -52.0945
-0.2949, -0.3030, -0.7502, -5.1524, 56.5683, -62.7043
0.0315, 0.0320, -0.6032, -3.6280, 60.3488, -39.1067
0.5097, 0.2779, -0.6945, -0.8841, 52.9707, 15.3445
0.0992, 0.0457, -0.5547, -1.7378, -26.2976, 26.9299
-0.2011, -0.1507, -0.8270, 5.3354, -54.0415, 48.6982
-0.4584, -0.3051, -0.9609, 11.3720, -28.0049, 60.5274
-0.3012, -0.6292, -0.9758, 5.3963, -6.1146, 71.0762
-0.6006, -1.0155, -1.0464, 11.5549, -37.7000, 47.2957
-1.0324, -0.9192, -1.0333, 16.3110, -38.1878, -21.4238
-0.7756, -0.7487, -0.9824, 6.6768, 28.5805, -53.1311
-0.3184, -0.5086, -0.8470, 5.2744, 79.1902, -62.7652
-0.0824, -0.2162, -0.5969, -0.3354, 67.3610, -60.9969
0.1822, 0.1094, -0.6476, -1.8598, 40.6537, -25.9360
0.4026, 0.3162, -0.6807, 1.9207, 25.7756, 17.2348
0.0480, -0.0316, -0.6742, -1.4939, -41.8463, 32.1128
-0.2764, -0.1434, -0.8637, 4.6037, -38.4317, 66.9909
-0.2472, -0.3698, -0.9805, 2.4695, -17.0293, 75.1616
-0.4324, -0.9364, -0.9957, 5.9451, -42.2122, 63.5762
-0.9159, -1.1250, -1.0958, 21.2500, -60.1390, 15.5884
-1.0227, -0.8475, -0.9625, 14.9085, -0.5049, -50.6311
-0.5936, -0.6790, -0.8741, 5.9451, 76.2024, -70.3872
-0.0526, -0.3966, -0.7287, 10.2134, 84.4341, -69.5335
0.0735, -0.0088, -0.7129, 11.9207, 41.1415, -49.2287
0.2178, 0.1456, -0.7169, 5.9451, 16.6293, -21.7896
0.2400, 0.1296, -0.7009, 10.3354, -2.7000, 16.9299
-0.0673, -0.1373, -0.6528, 6.5549, -31.4805, 34.7348
-0.2615, -0.2861, -0.8085, 1.3110, -19.2244, 61.2591
-0.2143, -0.5862, -0.9175, -3.6890, -27.8829, 62.1738
-0.5440, -1.0795, -1.0676, 4.2988, -52.7610, 42.5396
-0.9050, -1.0737, -1.0707, 11.7988, -46.2366, -8.4970
-0.7809, -0.7760, -1.0062, 6.9207, 16.7512, -51.3018
-0.4224, -0.6233, -0.8024, 5.9451, 61.6902, -70.1433
-0.0759, -0.2623, -0.7095, 12.7134, 58.2756, -61.1189
0.1138, 0.0610, -0.6475, 8.1402, 26.0805, -35.0213
0.3733, 0.2630, -0.7137, 4.2378, 19.1902, 16.8689
-0.0059, -0.0793, -0.6132, -3.9329, -40.8707, 25.0396
-0.2437, -0.2625, -0.8379, -5.0915, -47.7610, 56.6860
-0.3212, -0.5466, -0.8344, -13.3232, -37.9439, 62.6006
-0.4151, -1.0142, -1.0477, -9.3598, -46.7854, 56.8079
-0.8398, -1.1078, -1.0348, 2.3476, -51.9073, 6.1372
-0.8952, -0.8511, -0.9670, 0.3354, -9.4073, -46.1189
-0.5524, -0.6773, -0.9166, 1.1890, 40.6537, -66.4238
-0.2011, -0.3491, -0.7347, 5.8232, 61.5073, -67.3994
0.0215, -0.0474, -0.6053, -0.2744, 38.8244, -41.3628
0.2656, 0.1556, -0.6572, -6.0061, 19.9220, -9.3506
0.1196, 0.0577, -0.6477, -9.4817, -26.9683, 16.8689
-0.1636, -0.2066, -0.7934, -10.1524, -44.2244, 40.0396
-0.3980, -0.4168, -0.9746, -9.4817, -40.3829, 51.5031
-0.3285, -0.7451, -1.0062, -6.2500, -24.1024, 54.2470
-0.6105, -1.0554, -1.0579, 2.4085, -34.0415, 23.4543
-0.9611, -0.9762, -0.9752, 10.5793, -18.3707, -35.8750
-0.6575, -0.7257, -0.8942, 10.8232, 43.7024, -62.4604
-0.3030, -0.5572, -0.6959, 11.9817, 75.0439, -78.1311
-0.0598, -0.2407, -0.6462, 13.9329, 51.6902, -68.1921
