ax,ay,az,gx,gy,gz
-0.0946, -0.4110, -0.8908, 0.2134, -0.2000, 0.4055
-0.0935, -0.4084, -0.8868, 0.3354, 1.2024, 0.5274
-0.0909, -0.4116, -0.8908, 1.1280, -0.3220, -0.1433
-0.0968, -0.4168, -0.8842, 1.6768, -0.7488, 0.1616
-0.0889, -0.4149, -0.8889, 1.3110, 0.2878, -0.9970
-0.0900, -0.4102, -0.8945, 0.5183, -0.0780, -0.9970
-0.0914, -0.4138, -0.8882, 0.6402, 0.6537, -1.1799
-0.0799, -0.4106, -0.8920, 0.7012, -0.4439, -1.6067
-0.0855, -0.4063, -0.8964, 0.7012, -0.6878, -1.1189
-0.0922, -0.4041, -0.8864, 0.5183, 0.8366, -1.0579
-0.0883, -0.4185, -0.8889, 0.3354, -0.4439, -0.7530
-0.0866, -0.4160, -0.8902, 0.3354, 0.4707, -1.6677
-0.1085, -0.4090, -0.8653, -0.4573, 2.9098, -1.1189
-0.0778, -0.4138, -0.8614, -0.3354, 6.5683, 0.0396
-0.0818, -0.4102, -0.8536, -0.2744, 0.7146, 1.0152
-0.0855, -0.4177, -0.8794, 1.1890, -1.6024, -0.6921
-0.0979, -0.4165, -0.8553, 1.4329, -3.4317, -0.0823
-0.1013, -0.4277, -0.8838, 1.7378, -3.0659, -2.5823
-0.1094, -0.4274, -0.9114, 1.4329, -5.8098, -5.8140
-0.0737, -0.4503, -0.8642, 1.1890, -5.5659, -6.9726
-0.0727, -0.4446, -0.8618, 0.0305, -6.6024, -8.0701
-0.0482, -0.4202, -0.9086, 1.7378, -18.6756, -7.9482
-0.1150, -0.4363, -0.8551, 2.1037, -18.8585, -10.2652
-0.1116, -0.4385, -0.8513, 0.8232, -10.2000, -9.4726
-0.0700, -0.4374, -0.8525, -0.7622, -8.6756, -9.4726
-0.0621, -0.4113, -0.8697, -3.2622, -17.6390, -10.6921
-0.0840, -0.4293, -0.8834, -3.3232, -26.7854, -11.9116
