ax,ay,az,gx,gy,gz
-0.2305, -0.5240, -0.7817, -2.2256, -0.0171, -2.3384
-0.2327, -0.5021, -0.8090, -0.7012, -2.7610, -0.8750
-0.2372, -0.5094, -0.8115, -0.2744, 1.5683, -2.6433
-0.1970, -0.5025, -0.8000, -1.1890, 1.9341, -1.5457
-0.1960, -0.5017, -0.7980, -1.4329, -2.7610, -2.4604
-0.2129, -0.5094, -0.7906, -1.7988, -7.3951, -1.4848
-0.2155, -0.5086, -0.7949, -1.4939, -5.9317, 0.7104
-0.2148, -0.5024, -0.7939, -1.9817, -5.3829, 0.7713
-0.2360, -0.5042, -0.8060, -1.8598, -4.2244, 0.8933
-0.2478, -0.5018, -0.8013, -2.2256, -4.4073, -0.5091
-0.2352, -0.5113, -0.8025, -1.7378, -2.2122, -0.9360
-0.2189, -0.5179, -0.8018, -1.7988, -4.0415, -1.3018
-0.2232, -0.5187, -0.8037, -0.7622, -5.2000, -1.9726
-0.2276, -0.5337, -0.7975, 0.5793, -5.3829, -2.8262
-0.2188, -0.5477, -0.7575, -0.0915, -6.4195, -3.1311
-0.2154, -0.5371, -0.7728, -1.3720, -10.2610, -5.5701
-0.2536, -0.5365, -0.7719, -1.6159, -16.6634, -9.4726
-0.2645, -0.5382, -0.7828, -1.7988, -14.5293, -12.4604
-0.2378, -0.5457, -0.7765, -3.0183, -11.5415, -14.1067
-0.2467, -0.5247, -0.8059, -3.2012, -9.1024, -16.3018
-0.2540, -0.5334, -0.8246, -5.2744, -11.2366, -19.5945
-0.2548, -0.5161, -0.8271, -5.6402, -10.6268, -20.8750
-0.2346, -0.5233, -0.8213, -6.8598, -5.8098, -22.0945
-0.2236, -0.4908, -0.8452, -7.3476, -5.4439, -22.7652
-0.2417, -0.4986, -0.8406, -6.7988, -6.6634, -21.8506
-0.2140, -0.4970, -0.8111, -6.0061, -1.3585, -21.6677
-0.2031, -0.5022, -0.8240, -4.9085, -2.5780, -20.2652
-0.1915, -0.5051, -0.8132, -3.1402, -4.5902, -18.7409
-0.2065, -0.5084, -0.8091, -0.9451, -7.2122, -18.7409
-0.2372, -0.5206, -0.8124, -0.4573, -8.9195, -19.4116
-0.2327, -0.5209, -0.8209, 1.7378, -8.5537, -20.9970
-0.2322, -0.5163, -0.7952, 3.0183, -8.8585, -22.4604
-0.2445, -0.5178, -0.7952, 4.3598, -9.3463, -25.3872
-0.2199, -0.5211, -0.8030, 6.0061, -11.4195, -26.9116
-0.1962, -0.5244, -0.7740, 7.2256, -12.2122, -27.1555
-0.1961, -0.5253, -0.7491, 6.4329, -13.7976, -27.8262
-0.1746, -0.5320, -0.7656, 7.0427, -16.7854, -25.2043
-0.1631, -0.5296, -0.7397, 8.5671, -23.4317, -22.2165
-0.2081, -0.5330, -0.7405, 10.3963, -31.1756, -23.6799
-0.2578, -0.5453, -0.7932, 13.9329, -40.2000, -25.0823
-0.2719, -0.5798, -0.7576, 20.5793, -36.4805, -24.8384
-0.2610, -0.5903, -0.7488, 22.2866, -28.5537, -27.7652
-0.1992, -0.5969, -0.7254, 21.3720, -27.8829, -25.7530
-0.2259, -0.6148, -0.6891, 23.2622, -40.2000, -27.3994
-0.2642, -0.6147, -0.7025, 20.2134, -48.9195, -32.8872
-0.3027, -0.6156, -0.7050, 15.2134, -45.3220, -37.5823
-0.2332, -0.5684, -0.7262, 12.8354, -44.4073, -33.0701
-0.2590, -0.5773, -0.7128, 15.7622, -52.7000, -36.4238
-0.1365, -0.4954, -0.7283, 23.3232, -43.9195, -20.4482
0.0345, -0.4383, -0.6605, 25.3963, -11.2976, 17.6006
-0.0072, -0.5413, -0.6871, 12.8963, -8.6756, 34.9177
-0.1475, -0.6185, -0.6892, -4.8476, -8.1268, 44.3079
-0.1442, -0.7010, -0.7305, -24.8476, 7.0561, 54.0031
-0.4230, -0.6943, -0.8657, -22.6524, -48.4317, 36.8689
-0.9669, -0.8163, -0.8873, -4.5427, -85.9317, -7.2774
-1.0139, -0.6828, -0.7642, 8.3841, -26.5415, -35.5091
-0.7296, -0.6913, -0.6285, 7.4085, 20.2268, -66.7896
-0.0411, -0.4771, -0.5912, 12.4085, 31.2634, -50.9360
0.2953, -0.3830, -0.4348, 1.0061, 30.8976, -18.3140
0.3163, -0.3897, -0.6102, -6.7988, 7.4220, 24.7348
-0.1593, -0.4708, -0.7587, -9.4817, -17.9439, 33.9421
-0.1867, -0.6505, -0.6625, -22.7744, 7.9098, 51.1372
-0.3737, -0.8203, -0.8730, -16.3110, -36.1146, 48.1494
-1.0899, -0.8224, -0.8893, 4.0549, -86.9683, -6.9116
-1.1437, -0.7769, -0.7312, 12.8963, -25.6268, -50.6311
-0.8007, -0.6781, -0.7667, 16.2500, 19.2512, -87.5213
-0.0847, -0.5042, -0.5761, 23.6890, 51.0805, -63.4969
0.2959, -0.3557, -0.4124, 17.1646, 48.5195, -30.2043
0.4047, -0.3333, -0.4509, -1.6768, 22.1171, 16.7470
-0.0305, -0.4812, -0.6342, -14.9085, -13.0659, 27.7226
-0.1201, -0.5549, -0.6669, -27.2866, 1.3854, 50.5884
-0.3338, -0.8178, -0.8343, -21.9817, -36.2366, 53.2713
-1.0648, -0.8842, -0.9178, -0.4573, -92.2122, 1.1982
-1.2050, -0.8010, -0.7682, 14.4207, -47.9439, -52.3384
-0.7943, -0.6481, -0.8947, 18.8110, 14.0683, -83.9238
-0.0112, -0.5004, -0.5078, 23.0183, 66.3854, -59.2896
0.3806, -0.3722, -0.4202, 11.0671, 58.3366, -20.6921
0.4148, -0.4021, -0.4421, -8.6280, 34.7390, 24.1250
0.0016, -0.4884, -0.6393, -20.4573, -15.7488, 34.2470
-0.1359, -0.6357, -0.7821, -28.6280, -2.8829, 59.5518
-0.5333, -0.8892, -0.7842, -18.8110, -42.3341, 45.2226
-1.1898, -0.8317, -0.9220, 5.8232, -82.7000, -10.8140
-1.0780, -0.7493, -0.6911, 14.1159, -9.4683, -55.4482
-0.4999, -0.6392, -0.7220, 14.7256, 41.8732, -75.8750
0.0793, -0.5289, -0.4939, 13.6280, 46.9951, -56.1189
0.4387, -0.4303, -0.4203, -0.6402, 46.2634, -9.6555
0.4489, -0.4798, -0.5291, -14.9085, 26.6902, 27.7226
0.0615, -0.5711, -0.6589, -20.2744, -4.3463, 48.6372
-0.1450, -0.7647, -0.6202, -31.3720, -5.9317, 71.1372
-0.7988, -0.8717, -0.8511, -14.8476, -81.9683, 31.9909
-1.3072, -0.9061, -0.7970, 3.4451, -86.5415, -48.1311
-0.8963, -0.7838, -0.7067, 5.8841, 25.3488, -63.5579
-0.0850, -0.6157, -0.6756, 15.3354, 56.8732, -68.1311
0.1854, -0.4986, -0.4534, 15.4573, 43.4585, -44.2896
0.4209, -0.4071, -0.4607, 6.3720, 22.1780, -9.8994
0.3520, -0.5321, -0.5212, -7.1037, 14.3732, 32.9055
0.0469, -0.5490, -0.6153, -15.8232, 0.3488, 53.6982
-0.1694, -0.7653, -0.7078, -28.4451, 2.9098, 77.8445
-0.8463, -0.7779, -0.8873, -14.8476, -78.3707, 30.7713
-1.3197, -0.7750, -0.8871, 7.7134, -96.7244, -44.8384
-0.9683, -0.7448, -0.7330, 12.4085, 21.5683, -59.5945
-0.2143, -0.6279, -0.7284, 20.5183, 65.9585, -73.6799
0.3506, -0.4939, -0.4881, 19.7256, 88.9463, -23.9848
0.7404, -0.4356, -0.4356, -0.3354, 69.1293, 11.0152
0.5140, -0.5435, -0.5439, -17.6524, 35.4098, 57.2348
0.0814, -0.5838, -0.5728, -35.9451, 12.8488, 81.0762
-0.3618, -0.6353, -0.7679, -36.6768, -35.4439, 84.7348
-1.1448, -0.6547, -0.8826, -14.8476, -102.9439, 25.2835
-1.3977, -0.7433, -0.8243, 12.2866, -86.7244, -39.1067
-0.9919, -0.7369, -0.6725, 18.1402, 27.0561, -70.6311
0.0309, -0.5325, -0.7909, 16.8598, 56.8122, -68.0091
0.3783, -0.4508, -0.4622, 13.6890, 79.3122, -27.7043
0.7880, -0.4671, -0.5615, -1.1890, 54.7390, 23.5152
0.4175, -0.6225, -0.5789, -13.9329, 25.7146, 65.2835
0.0169, -0.5956, -0.5879, -28.1402, 15.0439, 93.1494
-0.3941, -0.5818, -0.7457, -28.8720, -30.2610, 85.2226
-1.0967, -0.5932, -0.9401, -8.1402, -89.0415, 31.1372
-1.3726, -0.7616, -0.7860, 15.7622, -88.2488, -41.1189
-0.9622, -0.7329, -0.6788, 20.2744, 21.5683, -61.2409
-0.1132, -0.6372, -0.5610, 18.8110, 73.7634, -56.9726
0.4582, -0.4793, -0.5811, 12.7134, 71.9341, -18.3140
0.6755, -0.4170, -0.5270, -3.5671, 37.6659, 20.3445
0.2843, -0.5365, -0.6301, -16.6159, -5.4439, 54.3689
-0.0189, -0.5343, -0.6483, -29.0549, -8.6756, 82.4787
-0.4744, -0.6281, -0.7632, -26.3110, -62.8829, 69.7348
-1.3306, -0.6824, -0.9716, -3.9939, -122.3951, 4.4909
-1.4437, -0.8026, -0.7601, 11.4939, -56.6024, -51.1189
-0.7615, -0.6569, -0.8293, 15.9451, 38.0927, -77.5213
0.0846, -0.5787, -0.5231, 16.5549, 86.0195, -48.3750
0.4158, -0.4294, -0.5763, 13.4451, 51.8732, -23.9238
0.4768, -0.4436, -0.5125, -4.4207, 28.4585, 21.1982
0.1241, -0.5503, -0.5995, -18.4451, 8.2756, 43.3323
-0.1203, -0.6021, -0.6153, -28.9329, 16.6293, 72.1128
-0.4599, -0.6970, -0.7935, -23.6890, -50.5049, 56.0762
-1.4186, -0.6793, -0.9714, 6.4939, -133.7976, -21.4238
-1.3187, -0.6967, -0.7429, 19.3598, -38.1268, -56.3018
-0.7097, -0.6190, -0.8796, 26.4329, 32.5439, -89.4116
0.1800, -0.5549, -0.4853, 26.0671, 85.2878, -41.7896
0.5969, -0.4381, -0.4381, 13.4451, 77.9098, 1.4421
0.5768, -0.5456, -0.4482, -10.5183, 35.8366, 48.6982
0.0896, -0.5486, -0.5552, -34.1159, -8.0659, 66.5640
-0.2824, -0.6527, -0.6719, -48.5061, -42.3341, 79.0640
-1.1140, -0.6656, -0.9632, -20.0305, -102.3951, 34.6738
-1.5874, -0.7397, -0.9489, 11.9817, -103.8585, -49.1677
-1.0498, -0.7091, -0.6948, 20.1524, 42.2390, -58.0701
-0.1431, -0.5736, -0.7607, 27.4085, 60.1659, -82.3384
0.2959, -0.5016, -0.4821, 20.8232, 71.7512, -27.1555
0.5826, -0.4379, -0.4377, -2.1037, 42.4220, 2.3567
0.2627, -0.5980, -0.5245, -19.6037, -1.3585, 38.0884
-0.0711, -0.5943, -0.5790, -32.9573, -0.3220, 63.6982
-0.3330, -0.6926, -0.7657, -37.5305, -32.4561, 69.6738
-1.1600, -0.5859, -0.9805, -10.3963, -98.0659, 13.1494
-1.3407, -0.7088, -0.8876, 16.6768, -82.2122, -52.0945
-0.9923, -0.6999, -0.7865, 28.0183, 44.9220, -71.3018
0.1672, -0.5479, -0.6407, 25.5793, 83.9463, -53.4360
0.4488, -0.4252, -0.4211, 17.4085, 80.5927, -9.6555
0.6214, -0.4394, -0.4256, -8.2012, 21.3244, 30.2835
0.0181, -0.5943, -0.5816, -24.3598, -39.9561, 38.2713
-0.2050, -0.6111, -0.5975, -34.2988, -10.9927, 70.1616
-0.4306, -0.7018, -0.8812, -28.5671, -45.2610, 57.2348
-1.2918, -0.6434, -0.9871, -0.5793, -97.3951, -5.8140
-1.2114, -0.6990, -0.7872, 17.7744, -41.8463, -44.5335
-0.7543, -0.6256, -0.8190, 25.0305, 35.4098, -77.8872
-0.0236, -0.5900, -0.5723, 23.3232, 68.8244, -53.9848
0.4010, -0.4653, -0.4940, 18.5671, 83.5195, -4.8384
0.5862, -0.4757, -0.4101, -1.7988, 42.0561, 29.7348
0.0731, -0.5823, -0.5535, -17.5915, -11.6024, 49.0640
-0.1262, -0.5497, -0.5858, -33.0793, 1.8122, 74.3079
-0.3580, -0.6394, -0.8403, -34.5427, -50.4439, 64.2470
-1.1802, -0.6208, -1.0195, -10.0915, -107.5171, 3.3323
-1.2987, -0.7123, -0.8496, 17.2256, -54.7122, -41.3018
-0.7915, -0.6561, -0.7596, 22.7134, 37.1171, -66.9116
-0.0059, -0.5734, -0.6301, 28.2622, 73.7634, -42.3384
0.2496, -0.5188, -0.5093, 19.5427, 42.9707, -27.7043
0.4751, -0.4812, -0.4633, 0.7622, 34.6780, 22.5396
0.1451, -0.6040, -0.5439, -16.4329, -0.5049, 40.2835
-0.1162, -0.6067, -0.5621, -31.0671, -3.0049, 65.3445
-0.4457, -0.6641, -0.7001, -27.7744, -29.4073, 64.4299
-1.2631, -0.6449, -1.0419, -0.5793, -105.1390, -3.9848
-1.3109, -0.6513, -0.7612, 19.5427, -32.6390, -46.1189
-0.8562, -0.6676, -0.7833, 25.5183, 62.4220, -73.1311
0.2160, -0.5587, -0.4823, 22.2866, 109.1293, -37.6433
0.3990, -0.5192, -0.4087, 6.1280, 78.0317, -18.5579
0.5080, -0.5289, -0.5345, -15.8232, 20.0439, 28.5762
-0.0077, -0.5733, -0.6711, -25.4573, -13.9805, 40.1616
-0.2738, -0.6550, -0.6622, -37.7744, -14.4683, 57.5396
-0.7125, -0.6400, -0.9609, -16.6159, -66.0537, 37.7835
-1.2922, -0.6548, -0.9008, 12.4695, -108.3098, -42.2165
-1.1041, -0.6812, -0.7136, 24.9085, -4.5902, -57.5213
-0.3778, -0.6489, -0.6149, 23.6890, 35.7756, -83.0701
0.3261, -0.4894, -0.4261, 17.1646, 77.7268, -22.2165
0.6347, -0.4317, -0.4263, -4.5427, 40.8366, 3.3933
0.3188, -0.6100, -0.5471, -20.0915, -9.5293, 42.9665
-0.0413, -0.5573, -0.6485, -27.5305, -19.5902, 61.5031
-0.3439, -0.6666, -0.7400, -32.1037, -33.4927, 70.7713
-1.0554, -0.6268, -0.9285, -11.4939, -85.6878, 27.2957
-1.4025, -0.7018, -0.8476, 14.6646, -91.6024, -44.1677
-1.0658, -0.6951, -0.6501, 18.6280, 19.4341, -59.1677
-0.1311, -0.5606, -0.6993, 25.0915, 61.9341, -60.2652
0.1999, -0.5300, -0.5209, 18.8110, 44.8610, -35.3872
0.4412, -0.4956, -0.4845, 2.5305, 28.9463, 4.4909
0.3266, -0.6085, -0.5243, -17.3476, 14.4341, 41.2591
-0.0301, -0.5778, -0.5717, -31.1280, -1.9073, 62.1128
-0.3510, -0.6695, -0.6586, -32.8354, -14.2854, 82.3567
-0.9795, -0.6616, -0.8983, -21.3720, -93.0049, 31.8079
-1.5219, -0.6419, -0.8815, 2.9573, -93.0659, -49.8384
-1.1021, -0.6254, -0.7582, 9.7256, 45.3488, -51.7287
-0.2770, -0.5712, -0.7343, 17.1037, 70.3488, -75.2043
0.2688, -0.5115, -0.5378, 16.3110, 91.9951, -21.6677
0.5450, -0.4554, -0.5004, 0.5183, 39.0683, -6.4238
0.3519, -0.5824, -0.5711, -13.8110, -1.9073, 39.6738
-0.0758, -0.5650, -0.6236, -24.4817, -17.0902, 55.4665
-0.4976, -0.6325, -0.6896, -28.3232, -26.7854, 62.1128
-1.1813, -0.5867, -0.9499, -2.1646, -100.2000, 10.2226
-1.3955, -0.6423, -0.7449, 18.8720, -78.8585, -55.8140
-0.9850, -0.6500, -0.7802, 25.3354, 25.7146, -84.2896
0.1595, -0.5208, -0.6379, 26.5549, 86.8732, -56.6067
0.5615, -0.4876, -0.4158, 18.3841, 85.1659, -16.9116
0.6913, -0.5092, -0.4307, -2.1646, 29.9829, 35.2226
0.0717, -0.6334, -0.6063, -17.4695, -30.7488, 46.8079
-0.2590, -0.6096, -0.5973, -29.6646, -18.4927, 74.1860
-0.6760, -0.6048, -0.9292, -19.7256, -45.5049, 55.2226
-1.3880, -0.6187, -0.9488, 3.8720, -105.0171, -22.1555
-1.1690, -0.7089, -0.6975, 15.7012, -13.6146, -44.5945
-0.5529, -0.5890, -0.7945, 18.5061, 31.3244, -77.3994
0.0784, -0.5580, -0.6161, 17.3476, 58.0317, -36.1799
0.4523, -0.4498, -0.5168, 7.6524, 60.5927, 0.8323
0.3943, -0.6030, -0.5188, -12.1037, 29.6780, 40.3445
0.0220, -0.5963, -0.6388, -25.2134, -9.2854, 57.4787
-0.3162, -0.5469, -0.7679, -23.6280, -12.5780, 75.1616
-1.0307, -0.6244, -0.9304, -12.4695, -85.7488, 24.7348
-1.5176, -0.6823, -0.8112, 15.2744, -82.7000, -52.7652
-1.0122, -0.7094, -0.6580, 19.6037, 65.5927, -56.0579
-0.0001, -0.5569, -0.6128, 18.5061, 85.5317, -66.5457
0.3619, -0.5170, -0.4204, 8.9329, 93.5805, -9.1067
0.5696, -0.4460, -0.5768, -9.9695, 27.4829, 12.9665
0.0499, -0.5809, -0.6641, -16.4939, -29.3463, 31.6860
-0.2054, -0.6042, -0.6590, -21.4329, -23.4927, 49.5518
-0.5054, -0.6586, -0.7823, -20.5793, -40.5659, 44.5518
-1.1556, -0.6994, -0.8997, -0.1524, -86.7244, -9.5945
-1.1489, -0.6463, -0.7299, 13.4451, -30.8098, -44.4726
-0.7117, -0.6079, -0.7806, 18.5061, 22.9707, -74.0457
