ax,ay,az,gx,gy,gz
-0.4797, -0.4025, -0.7789, -0.2134, -5.3220, 0.8933
-0.4731, -0.4048, -0.7837, 0.7012, -5.2000, 1.1372
-0.4696, -0.4072, -0.7729, 1.4329, -5.1390, 0.8323
-0.4656, -0.4063, -0.7646, 1.8598, -6.7854, 1.5640
-0.4734, -0.4085, -0.7637, 1.0671, -7.3341, 0.9543
-0.4793, -0.4126, -0.7515, 0.9451, -8.1878, 0.2835
-0.4796, -0.4155, -0.7665, -0.5183, -9.1024, 1.1982
-0.4818, -0.4082, -0.7772, -1.1890, -9.8951, 0.8933
-0.4876, -0.4070, -0.7725, -0.9451, -11.1146, -0.8140
-0.4934, -0.4098, -0.7737, -0.8841, -9.6512, -0.2043
-0.4965, -0.4110, -0.7573, -1.8598, -6.7854, 0.9543
-0.4967, -0.4141, -0.7784, -0.3354, -9.3463, -0.2652
-0.5220, -0.4127, -0.7546, 0.0915, -6.6024, -0.2652
-0.5206, -0.4075, -0.7700, 0.5183, -0.2610, 0.8933
-0.4988, -0.4107, -0.7464, 0.3963, 2.2390, 1.1982
-0.4990, -0.4079, -0.7646, -0.2134, 0.4707, -0.6311
-0.4927, -0.4095, -0.7485, -0.8841, -4.1024, -1.2409
-0.5090, -0.4072, -0.7568, 0.0305, -7.0293, -1.2409
-0.5135, -0.4083, -0.7428, -1.0061, -5.5659, -2.4604
-0.4910, -0.4197, -0.7446, -1.6159, -6.1146, -2.0335
-0.4750, -0.4193, -0.7290, -1.9207, -17.2122, -2.7043
-0.4898, -0.4198, -0.7397, -1.1280, -32.6390, -5.5091
-0.5170, -0.4281, -0.7143, -0.8232, -37.3341, -5.6311
-0.5427, -0.4373, -0.7156, 0.5793, -26.2976, -5.6311
-0.5916, -0.4446, -0.7202, 0.1524, -20.6878, -11.5457
-0.6167, -0.4788, -0.6914, -3.5061, -12.5780, -15.2652
-0.5714, -0.4525, -0.7227, -5.2134, -5.5659, -19.1677
-0.5550, -0.4575, -0.7083, -6.3110, 2.9098, -20.9360
-0.5534, -0.4564, -0.6957, -8.9939, 11.0195, -21.9116
-0.5064, -0.4432, -0.7215, -10.6402, 20.1049, -20.4482
-0.4985, -0.4044, -0.7723, -8.6890, 17.6049, -23.8628
-0.4599, -0.4502, -0.7344, -10.7622, 20.2878, -18.8018
-0.4662, -0.4115, -0.7599, -10.5793, 15.7756, -18.0091
-0.4801, -0.4290, -0.7400, -12.5305, 17.8488, -18.0701
-0.4712, -0.4025, -0.8086, -12.6524, 7.4220, -17.8872
-0.4925, -0.4275, -0.7809, -11.9817, 14.8610, -15.5091
-0.4824, -0.3906, -0.8257, -9.7256, 25.2878, -15.9970
-0.4664, -0.4140, -0.8143, -6.6768, 25.9585, -15.3872
-0.4367, -0.4186, -0.8339, -5.0915, 24.1293, -15.8750
-0.4025, -0.4350, -0.7982, -4.2988, 19.8610, -15.9360
-0.4033, -0.4181, -0.8079, -3.0793, 20.1659, -12.5213
-0.4404, -0.4035, -0.8376, -0.0305, 27.7268, -14.1677
-0.4318, -0.4226, -0.8331, 2.8963, 38.8244, -12.5823
-0.3637, -0.4404, -0.7978, 3.6890, 38.7024, -12.6433
-0.3360, -0.4468, -0.8018, 3.3841, 28.3976, -15.0213
-0.3535, -0.4317, -0.8243, 5.1524, 21.6293, -16.9116
-0.3581, -0.4489, -0.8259, 7.7744, 26.7512, -16.3628
-0.3419, -0.4442, -0.8133, 10.1524, 28.2756, -17.8872
-0.3005, -0.4622, -0.8105, 10.9451, 18.2756, -19.5945
-0.3010, -0.4365, -0.8115, 13.9329, 21.3244, -20.5701
-0.2827, -0.4431, -0.7821, 14.7256, 32.6659, -17.6433
-0.2229, -0.4368, -0.7885, 15.0915, 32.7268, -12.4604
-0.1926, -0.4381, -0.7826, 15.2134, 24.1293, -8.8628
-0.2537, -0.4406, -0.8672, 15.7012, 13.3366, -8.2530
-0.3076, -0.4785, -0.8443, 18.2012, 12.6049, -8.2530
-0.2347, -0.4980, -0.8062, 17.3476, 14.3122, -7.2774
-0.2552, -0.4851, -0.8024, 16.9817, 20.9585, -7.5213
-0.2212, -0.5330, -0.7938, 12.8354, 16.6902, -6.9726
-0.1791, -0.5394, -0.8027, 10.3354, 2.7878, -9.2287
-0.2508, -0.5363, -0.8289, 10.2134, -6.4195, -15.1433
-0.2684, -0.5523, -0.8181, 9.1159, -0.3220, -17.0335
-0.2085, -0.5354, -0.8310, 11.1280, -2.4561, -19.4116
-0.2256, -0.5499, -0.8011, 12.4085, -3.6756, -23.4360
-0.2003, -0.5407, -0.7933, 11.5549, -0.9317, -23.9238
-0.1528, -0.5355, -0.7856, 11.1280, -7.0293, -23.9238
-0.1297, -0.5332, -0.7621, 9.3598, -18.6756, -22.5823
-0.2048, -0.5330, -0.7646, 8.5671, -22.1512, -25.3872
-0.1953, -0.5480, -0.7682, 6.6768, -25.2610, -24.5945
-0.2386, -0.5527, -0.8053, 8.2012, -25.7488, -30.0823
-0.2671, -0.5999, -0.7871, 8.8110, -24.9561, -35.2652
-0.2373, -0.5874, -0.8312, 11.0061, -13.9195, -36.8506
-0.1925, -0.5728, -0.8209, 14.1159, -11.7854, -39.7774
-0.1076, -0.5617, -0.7444, 14.2988, -5.3220, -36.0579
0.1016, -0.5136, -0.6566, 6.0061, 7.2390, -14.9604
0.1429, -0.5253, -0.6804, -2.0427, 15.3488, 9.1860
0.0096, -0.5736, -0.7223, -10.5793, 13.2756, 24.1250
-0.0061, -0.5788, -0.7316, -18.2622, 22.3610, 40.5274
-0.1661, -0.6074, -0.7801, -21.9817, 25.5927, 46.3811
-0.4256, -0.6090, -0.8556, -19.4207, -2.8829, 26.2591
-0.5829, -0.6511, -0.9285, -8.2012, -16.5415, -3.6189
-0.5598, -0.5838, -0.8900, 3.7500, -20.1390, -33.8018
-0.3859, -0.5628, -0.8153, 15.2744, -2.8829, -47.8262
-0.0510, -0.5024, -0.6174, 10.4573, 33.8244, -44.4726
