ax,ay,az,gx,gy,gz
-0.0833, -0.3876, -0.8823, -0.7012, 4.9220, -0.3872
-0.0733, -0.3978, -0.8728, -0.2744, 6.1415, 0.5274
-0.0656, -0.3812, -0.8707, 0.0915, 4.7390, 1.9299
-0.0629, -0.3886, -0.8753, -1.0061, 1.2634, 1.9909
-0.0747, -0.3886, -0.8683, -1.3720, -0.8707, 1.5030
-0.0861, -0.3922, -0.8817, -0.4573, 0.2878, 1.6860
-0.0733, -0.3903, -0.8983, -0.2744, 1.6902, 1.3811
-0.0631, -0.3791, -0.8953, 0.8232, -0.2000, 1.7470
-0.0799, -0.3854, -0.8878, 2.7134, -2.3341, 0.8933
-0.0819, -0.3941, -0.8897, 4.3598, -2.2732, 1.6860
-0.0870, -0.3922, -0.9001, 5.3354, -1.6634, 1.6860
-0.0745, -0.3963, -0.8815, 5.8841, 0.1659, 1.9909
-0.0710, -0.4100, -0.8626, 4.1159, -2.9439, 1.4421
-0.0825, -0.3988, -0.8415, 2.7134, -1.2366, 1.5640
-0.0896, -0.3951, -0.8808, 2.7134, -0.9317, 2.4177
-0.0718, -0.3920, -0.8655, 1.8598, -2.7610, 3.3323
-0.0833, -0.4052, -0.8541, 1.7378, -2.2732, 2.9055
-0.0750, -0.3967, -0.8907, 1.3110, -7.4561, 2.2348
-0.0965, -0.3950, -0.9039, 3.5671, -11.9073, 1.8079
-0.0951, -0.4174, -0.8582, 3.0183, -8.7366, 2.1738
-0.0935, -0.4022, -0.8848, 3.2012, -8.5537, 2.4787
-0.0900, -0.3891, -0.8917, 5.1524, -15.9317, 2.2957
-0.1072, -0.4094, -0.8546, 5.2744, -24.5293, 1.3811
-0.0751, -0.4198, -0.8516, 2.4695, -24.5902, 3.2104
-0.1295, -0.4132, -0.8517, 0.0305, -26.7244, 1.6250
-0.1350, -0.4448, -0.7847, -4.6037, -29.5293, 2.1128
-0.1523, -0.4293, -0.8655, -3.7500, -31.4805, 3.3323
-0.1638, -0.4483, -0.8512, -5.1524, -33.3098, 1.6860
-0.1631, -0.4520, -0.8257, -6.5549, -36.4805, 1.5030
-0.2375, -0.4079, -0.8895, -6.0671, -32.2122, -1.8506
-0.2466, -0.4422, -0.8628, -7.2256, -19.7122, -1.8506
-0.2299, -0.4240, -0.8986, -7.2866, -8.5537, -1.3628
-0.2433, -0.4241, -0.8899, -7.0427, -11.4805, -5.9970
-0.2270, -0.4177, -0.9045, -6.1280, -1.9683, -6.1799
-0.2238, -0.3992, -0.9188, -3.7500, -0.5659, -5.9970
-0.2799, -0.3910, -0.9584, 0.6402, 8.1537, -8.4360
-0.1942, -0.4053, -0.8910, 1.2500, 13.2146, -4.3506
-0.1759, -0.3933, -0.8771, 1.3720, 21.3244, -5.0213
-0.2092, -0.4143, -0.8630, -0.0305, 21.8732, -5.9970
-0.1921, -0.3870, -0.9263, 0.8232, 20.6537, -5.9970
-0.1447, -0.4115, -0.8818, 1.6159, 20.2878, -3.5579
-0.1199, -0.4204, -0.8654, -0.4573, 17.9707, -2.7043
-0.1748, -0.3615, -0.9895, 4.4207, 12.6659, -5.4482
-0.2313, -0.4081, -0.9522, 9.7866, 13.7634, -7.5823
-0.1785, -0.4324, -0.9036, 11.6159, 24.1293, -6.1189
-0.1293, -0.4149, -0.9503, 14.5427, 15.2878, -10.5091
-0.1753, -0.4143, -0.9467, 19.6646, 3.5805, -16.1799
-0.2052, -0.4570, -0.9449, 24.8476, 15.4098, -17.8262
-0.1237, -0.4365, -0.9358, 30.1524, 23.3976, -18.6799
-0.0590, -0.4511, -0.8684, 33.4451, 7.7878, -20.2043
-0.0938, -0.4706, -0.8256, 32.8354, 5.2268, -20.3262
-0.0695, -0.4736, -0.8376, 31.9817, 2.6049, -19.3506
-0.0504, -0.4751, -0.8691, 36.6159, -6.0537, -18.0091
-0.0390, -0.5323, -0.7896, 37.7744, -11.9683, -16.5457
-0.1030, -0.5217, -0.7958, 38.3232, -9.6512, -17.5213
-0.1104, -0.5244, -0.8605, 41.1280, -12.4561, -20.8140
-0.1354, -0.5536, -0.8000, 41.4939, -17.0293, -25.6921
-0.1079, -0.5534, -0.7759, 39.0549, -21.4195, -32.2165
-0.1254, -0.5022, -0.8014, 40.6402, -15.5049, -35.2043
-0.1015, -0.5476, -0.6995, 37.5915, 3.5195, -32.7043
0.1492, -0.5291, -0.6530, 32.2866, 11.9951, -18.4970
0.3818, -0.5445, -0.5764, 17.1646, 22.0561, 16.1372
0.3030, -0.5974, -0.6234, -6.1890, 18.2756, 42.6006
0.1783, -0.6225, -0.6272, -29.7256, -4.2854, 51.1982
-0.0391, -0.6100, -0.8063, -37.2866, -34.0415, 54.4299
-0.6187, -0.6134, -0.9584, -25.6402, -53.1878, 23.3933
-0.8689, -0.6376, -0.9903, -9.4207, -42.7610, -18.0091
-0.6619, -0.5441, -0.8785, 4.1159, 2.8488, -45.4482
-0.2747, -0.5433, -0.8340, 16.7378, 23.3976, -62.0945
0.1996, -0.4449, -0.7668, 25.7622, 42.6049, -44.4116
0.5460, -0.5045, -0.6345, 20.0915, 38.3366, -9.6555
0.5104, -0.5145, -0.6158, 4.2988, 25.8366, 31.4421
0.1311, -0.5866, -0.6851, -11.7378, 17.6049, 46.3201
-0.0557, -0.6250, -0.7575, -23.5671, 10.7146, 51.6250
-0.4656, -0.6368, -0.9988, -12.3476, -40.3829, 27.2348
-0.9229, -0.6826, -0.9834, 11.5549, -48.9195, -27.4604
