ax,ay,az,gx,gy,gz
-0.5761, -0.5303, -0.6578, -5.0305, -6.3585, -21.8506
-0.5642, -0.5252, -0.6683, -5.9451, -3.9805, -23.6799
-0.5289, -0.5203, -0.6885, -6.1280, -3.4927, -26.4848
-0.5009, -0.5207, -0.6774, -4.5427, -1.0537, -29.3506
-0.4693, -0.5317, -0.6744, -3.2012, -0.5659, -29.4726
-0.4519, -0.5424, -0.6687, -3.0183, -2.5780, -29.4116
-0.4669, -0.5201, -0.6863, -2.4695, -2.9439, -27.3994
-0.4891, -0.5156, -0.7056, -0.5183, 2.4829, -25.1433
-0.4953, -0.5329, -0.7046, -0.1524, 8.3366, -21.5457
-0.4526, -0.5258, -0.7005, -1.8598, 9.8000, -19.9604
-0.4260, -0.5352, -0.7047, -2.3476, 5.1659, -18.4360
-0.4250, -0.5365, -0.7054, -4.1159, 4.4951, -17.0945
-0.4154, -0.5348, -0.7031, -4.3598, 5.8366, -16.3628
-0.3883, -0.5418, -0.7014, -3.9939, 6.8122, -14.8384
-0.3911, -0.5551, -0.6946, -3.7500, 9.1902, -13.4360
-0.3929, -0.5501, -0.6856, -4.6646, 13.0317, -12.2774
-0.4006, -0.5512, -0.6952, -3.9329, 16.8122, -10.7530
-0.3859, -0.5559, -0.6810, -5.0305, 17.5439, -9.2896
-0.3780, -0.5435, -0.7013, -4.6646, 11.6902, -8.4970
-0.3823, -0.5448, -0.7140, -3.2012, 5.2268, -9.8994
-0.3883, -0.5636, -0.7104, -1.8598, 5.1659, -9.4116
-0.3677, -0.5686, -0.7090, -0.8841, 6.0805, -10.6311
-0.3714, -0.5646, -0.7322, 1.0061, 7.3610, -11.4848
-0.3847, -0.5773, -0.7279, 2.8354, 12.9707, -12.7043
-0.3490, -0.5819, -0.7174, 3.6280, 17.3610, -12.2774
-0.3237, -0.6090, -0.7080, 3.2622, 15.8366, -13.4360
-0.3207, -0.5970, -0.7250, 3.4451, 10.4098, -13.6799
-0.3432, -0.5980, -0.7244, 3.5061, 9.1293, -14.4726
-0.3164, -0.5893, -0.7327, 3.2012, 11.6902, -14.2287
-0.3407, -0.5996, -0.7296, 3.8110, 16.9951, -15.9360
-0.3543, -0.6241, -0.7563, 3.8720, 22.5439, -15.9360
-0.2941, -0.6370, -0.7819, 6.0671, 21.6293, -16.3628
-0.2890, -0.6286, -0.7731, 10.7622, 10.1049, -21.9726
-0.3574, -0.6568, -0.7587, 16.6768, 2.1780, -29.5945
-0.3547, -0.6793, -0.7992, 25.0305, -3.1268, -36.1799
-0.2989, -0.5801, -0.7495, 37.5915, 17.8488, -35.3262
-0.3559, -0.6065, -0.5967, 37.6524, 36.0195, -46.9726
-0.1220, -0.5498, -0.6605, 36.0671, 27.9707, -42.1555
0.1255, -0.5408, -0.5065, 34.9695, 14.1293, -21.0579
0.2535, -0.5139, -0.4378, 23.5671, 25.2878, 18.0274
0.2243, -0.6037, -0.4541, 2.3476, 41.1415, 54.7348
0.1103, -0.6358, -0.4717, -19.6646, 21.3854, 76.3201
-0.2039, -0.7159, -0.6324, -28.9329, -37.2732, 67.7835
-0.8558, -0.7693, -0.7556, -21.6768, -81.3585, 25.0396
-1.1331, -0.8317, -0.8119, -8.4451, -72.6390, -26.7287
-0.7345, -0.6924, -0.7683, 3.2622, 15.6537, -42.9482
-0.1430, -0.6584, -0.7349, 13.8110, 38.3976, -49.2896
0.1418, -0.5913, -0.6262, 17.9573, 16.0195, -36.7287
0.4511, -0.5128, -0.5951, 12.7744, 19.6171, 6.0152
0.2761, -0.6136, -0.5599, -4.9695, 31.1415, 43.6372
-0.0269, -0.6242, -0.6017, -22.5915, 19.9829, 59.1860
-0.2977, -0.6302, -0.8059, -28.4451, 7.7878, 64.0031
-0.8753, -0.6301, -0.7978, -10.7012, -65.0171, 20.0396
-1.2331, -0.7661, -0.7992, 4.9695, -56.6024, -39.5945
-0.6796, -0.7438, -0.7710, 8.3232, 48.7634, -49.5335
-0.0482, -0.6253, -0.7046, 15.3354, 58.7024, -58.9238
0.1901, -0.5690, -0.6024, 18.4451, 44.8610, -35.5701
0.3917, -0.5642, -0.5257, 6.5549, 30.0439, -8.0701
0.3269, -0.5772, -0.5404, -12.2866, 38.1537, 37.7835
0.0480, -0.5650, -0.5983, -28.2622, 23.0927, 51.8689
-0.1973, -0.6091, -0.7581, -33.8110, 5.4707, 62.8445
-0.7745, -0.7034, -0.8181, -17.3476, -66.4195, 27.2957
-1.2103, -0.7640, -0.8398, 2.5915, -72.6390, -39.2287
-0.8180, -0.7410, -0.6540, 3.8110, 34.3732, -51.6067
-0.1072, -0.6422, -0.7615, 9.9085, 47.3610, -60.6921
0.3556, -0.4791, -0.6374, 17.5305, 53.3366, -25.8140
0.5086, -0.4995, -0.5571, 8.5671, 26.2024, -2.5823
0.3565, -0.5931, -0.5443, -7.8354, 27.5439, 42.7226
0.1012, -0.5726, -0.5761, -23.8720, 28.5195, 65.0396
-0.0594, -0.6966, -0.7681, -31.6768, 9.3122, 77.4787
-0.8295, -0.6804, -0.8118, -16.8598, -66.4195, 36.0152
-1.3424, -0.7705, -0.9067, 9.4207, -97.0902, -39.9604
-0.9032, -0.7434, -0.7239, 15.7622, 20.8976, -59.4116
-0.0470, -0.6232, -0.6656, 20.1524, 64.2512, -68.6799
0.3380, -0.5191, -0.5944, 26.1280, 56.4463, -37.3384
0.5320, -0.5282, -0.5468, 16.9817, 13.6415, -12.6433
0.5105, -0.5825, -0.4885, -0.3354, 22.6049, 41.5031
0.2042, -0.5856, -0.5400, -21.0671, 15.7146, 66.7470
-0.1477, -0.6876, -0.7267, -27.8354, -10.8707, 79.4299
-0.7575, -0.7489, -0.7695, -16.9207, -88.2488, 39.0640
-1.3921, -0.7278, -0.8661, 2.2256, -109.4683, -43.1311
-0.9711, -0.6768, -0.7312, 8.2012, 23.0317, -55.3262
-0.0922, -0.6342, -0.7391, 13.0793, 57.5439, -67.3384
0.3863, -0.4525, -0.7465, 25.3963, 48.5805, -35.7530
0.5181, -0.5416, -0.5485, 17.1037, 10.8976, -10.6921
0.4270, -0.6113, -0.5272, 0.5793, 13.5195, 37.4177
0.1005, -0.6007, -0.5253, -20.5183, 12.9707, 61.2591
-0.1257, -0.6605, -0.7640, -29.5427, -13.1268, 71.5640
-0.8702, -0.7395, -0.7844, -17.3476, -85.4439, 28.8811
-1.3891, -0.7104, -0.9188, 6.4939, -104.0415, -47.5823
-1.0433, -0.7659, -0.7192, 11.7988, 21.9341, -69.7774
-0.0244, -0.6008, -0.7896, 24.4207, 59.3732, -71.0579
0.3792, -0.5055, -0.5579, 31.8598, 61.1415, -36.4848
0.6675, -0.4652, -0.5347, 20.1524, 14.6780, -4.6555
0.4418, -0.5922, -0.4313, 0.3963, 13.2146, 44.6128
0.1123, -0.5956, -0.4888, -24.3598, 8.3366, 71.2591
-0.1447, -0.6365, -0.7380, -31.3110, -15.1390, 82.6006
-0.7718, -0.7501, -0.8181, -20.2134, -76.1756, 40.8323
