ax,ay,az,gx,gy,gz
-0.07, -0.31, -0.89, -13.24, 2.11, -0.16
-0.07, -0.31, -0.89, -12.94, 2.79, 1.29
-0.07, -0.31, -0.89, -13.36, 3.20, 0.06
-0.07, -0.31, -0.88, -13.18, 3.03, 0.20
-0.07, -0.31, -0.88, -12.96, 3.31, 0.30
-0.07, -0.31, -0.89, -13.59, 3.54, 0.40
-0.07, -0.31, -0.89, -13.72, 4.18, -0.22
-0.07, -0.31, -0.89, -13.78, 3.69, 0.71
-0.07, -0.31, -0.89, -13.75, 3.48, 0.51
-0.07, -0.31, -0.89, -13.64, 3.13, 0.36
-0.07, -0.31, -0.89, -13.52, 2.59, -0.57
-0.07, -0.31, -0.88, -14.01, 3.26, 0.29
-0.08, -0.31, -0.89, -13.95, 4.18, 0.09
-0.08, -0.31, -0.89, -13.42, 4.22, 0.58
-0.07, -0.31, -0.89, -12.98, 3.98, 0.89
-0.07, -0.31, -0.89, -13.57, 4.45, -0.06
-0.07, -0.31, -0.89, -13.59, 3.93, 0.50
-0.07, -0.31, -0.89, -13.49, 3.58, 0.72
-0.07, -0.31, -0.89, -13.84, 3.38, 0.82
-0.07, -0.31, -0.89, -13.27, 2.73, 0.78
-0.07, -0.31, -0.89, -13.42, 3.12, -0.18
-0.07, -0.31, -0.88, -13.63, 3.73, -0.24
-0.08, -0.31, -0.88, -13.90, 3.88, 0.00
-0.07, -0.31, -0.89, -13.50, 4.03, -0.18
-0.07, -0.31, -0.89, -13.42, 4.24, 0.28
-0.07, -0.31, -0.89, -13.02, 4.69, 0.26
-0.07, -0.31, -0.89, -13.70, 4.37, -0.00
-0.07, -0.31, -0.88, -13.82, 4.31, -0.10
-0.07, -0.31, -0.89, -13.24, 3.58, 0.38
-0.07, -0.31, -0.89, -13.76, 4.15, -0.02
-0.07, -0.31, -0.89, -13.91, 3.21, 0.87
-0.07, -0.31, -0.89, -13.87, 3.42, -0.08
-0.07, -0.31, -0.89, -14.06, 3.21, 0.94
-0.07, -0.31, -0.88, -13.43, 3.21, 0.37
-0.07, -0.31, -0.88, -14.09, 4.20, 0.28
-0.07, -0.31, -0.89, -13.94, 4.13, -0.52
-0.07, -0.31, -0.89, -13.99, 4.37, 0.50
-0.07, -0.31, -0.89, -13.72, 3.59, 0.46
-0.07, -0.31, -0.89, -13.52, 3.79, 0.23
-0.07, -0.31, -0.89, -14.40, 3.42, 0.39
-0.07, -0.31, -0.89, -14.18, 4.23, 0.71
-0.07, -0.31, -0.88, -13.48, 4.01, -0.16
-0.07, -0.31, -0.88, -13.77, 4.82, -0.22
-0.07, -0.31, -0.89, -14.10, 5.19, -0.05
-0.07, -0.31, -0.88, -14.79, 7.25, -0.06
-0.08, -0.31, -0.88, -14.88, 9.04, -1.00
-0.08, -0.31, -0.88, -15.70, 13.17, -0.48
-0.08, -0.31, -0.89, -15.57, 14.42, -1.40
-0.07, -0.30, -0.89, -16.18, 17.51, -0.46
-0.06, -0.30, -0.88, -16.09, 16.43, -1.96
-0.06, -0.30, -0.88, -15.57, 19.35, -1.78
-0.07, -0.29, -0.87, -16.13, 22.18, -4.08
-0.06, -0.29, -0.86, -15.16, 21.00, -6.46
