ax,ay,az,gx,gy,gz
0.07, -0.72, -0.32, -24.70, -28.95, -2.54
0.06, -0.68, -0.39, -15.44, -42.37, 7.96
0.06, -0.71, -0.31, -10.12, -55.88, 12.58
-0.02, -0.75, -0.28, -1.01, -52.54, 18.82
-0.08, -0.77, -0.32, 2.66, -48.06, 20.78
-0.13, -0.80, -0.27, 6.43, -33.34, 20.50
-0.21, -0.82, -0.25, 9.15, -8.02, 17.54
-0.27, -0.85, -0.21, 11.27, 20.33, 8.98
-0.36, -0.92, -0.15, 7.55, 51.32, 3.36
-0.35, -1.03, -0.04, -2.83, 63.18, -5.94
-0.30, -1.12, 0.00, -12.22, 64.00, -12.41
-0.22, -1.17, 0.00, -27.21, 46.80, -22.58
-0.20, -1.14, 0.14, -49.04, 30.06, -31.06
-0.18, -1.06, 0.07, -49.59, 32.11, -30.78
-0.11, -0.96, -0.18, -50.81, 28.95, -26.93
-0.01, -0.84, -0.28, -41.18, 20.39, -15.85
0.11, -0.71, -0.38, -25.39, -0.47, -3.95
0.17, -0.64, -0.49, -10.41, -20.59, 9.71
0.14, -0.63, -0.42, -2.88, -46.51, 15.61
0.04, -0.69, -0.30, 4.39, -62.23, 20.60
-0.05, -0.78, -0.32, 7.54, -59.19, 24.02
-0.09, -0.82, -0.24, 4.54, -46.79, 21.19
-0.18, -0.83, -0.15, 8.94, -19.78, 19.97
-0.27, -0.85, -0.20, 8.29, 11.20, 16.49
-0.30, -0.92, -0.21, 9.16, 28.81, 9.19
-0.30, -0.99, -0.11, 6.10, 43.32, 1.39
-0.30, -1.08, -0.00, -4.91, 55.97, -11.08
-0.32, -1.15, 0.07, -20.37, 51.10, -22.10
-0.30, -1.15, 0.14, -42.64, 40.34, -31.29
-0.23, -1.08, 0.11, -48.71, 33.19, -32.83
-0.11, -0.97, -0.09, -49.12, 25.55, -30.54
-0.02, -0.86, -0.26, -43.79, 18.60, -20.75
0.08, -0.75, -0.33, -31.20, 4.74, -8.27
0.14, -0.66, -0.41, -16.02, -11.63, 5.57
0.16, -0.63, -0.45, -6.68, -35.20, 17.96
0.11, -0.67, -0.33, -1.64, -56.09, 19.68
-0.04, -0.76, -0.29, 9.15, -54.16, 24.81
-0.12, -0.80, -0.35, 13.31, -47.74, 25.54
-0.13, -0.81, -0.30, 16.11, -28.33, 21.05
-0.20, -0.84, -0.17, 13.03, 2.08, 20.17
-0.29, -0.90, -0.11, 10.51, 32.53, 12.81
-0.34, -1.00, -0.06, 4.59, 55.98, 6.51
-0.31, -1.08, -0.02, -4.28, 59.58, -2.14
-0.24, -1.13, 0.00, -14.27, 48.25, -12.27
-0.22, -1.12, 0.07, -33.00, 34.82, -23.67
-0.23, -1.06, 0.12, -44.96, 35.63, -26.01
-0.18, -0.98, -0.07, -43.99, 31.38, -23.99
-0.07, -0.88, -0.26, -41.16, 23.35, -16.35
0.06, -0.77, -0.32, -30.21, 1.55, -7.07
0.12, -0.69, -0.38, -14.50, -14.26, 4.59
0.12, -0.66, -0.42, -6.78, -35.84, 16.66
0.08, -0.72, -0.29, -1.97, -49.02, 17.97
-0.03, -0.78, -0.26, 2.86, -38.60, 24.69
-0.12, -0.81, -0.25, 4.56, -33.21, 24.56
