ax,ay,az,gx,gy,gz
0.84, -0.48, -0.45, -35.52, -51.32, -1.16
0.88, -0.43, -0.52, -27.74, -62.32, 5.01
0.83, -0.41, -0.57, -14.08, -47.12, 8.95
0.71, -0.42, -0.65, -2.67, -17.44, 8.50
0.62, -0.46, -0.67, 4.52, 21.45, 13.48
0.59, -0.54, -0.61, 9.67, 43.32, 15.09
0.60, -0.61, -0.50, 10.88, 58.89, 13.65
0.62, -0.67, -0.41, 12.07, 61.87, 8.04
0.64, -0.71, -0.34, 12.19, 46.49, -5.05
0.63, -0.75, -0.28, 5.22, 40.88, -10.25
0.63, -0.78, -0.23, -1.82, 23.56, -19.88
0.61, -0.74, -0.18, -21.18, 16.72, -19.76
0.66, -0.67, -0.14, -31.50, 3.90, -20.70
0.77, -0.57, -0.22, -39.24, -17.93, -14.85
0.88, -0.48, -0.35, -39.05, -48.62, -4.51
0.93, -0.42, -0.45, -32.93, -64.00, 3.65
0.87, -0.39, -0.54, -22.52, -64.00, 9.57
0.76, -0.39, -0.63, -7.31, -46.66, 8.61
0.60, -0.42, -0.68, 0.90, 5.01, 13.57
0.56, -0.49, -0.62, 6.78, 37.59, 11.95
0.56, -0.59, -0.55, 8.34, 64.00, 12.14
0.60, -0.67, -0.43, 7.95, 64.00, 10.11
0.68, -0.70, -0.37, 8.61, 56.10, 5.25
0.71, -0.71, -0.29, -0.43, 26.63, -2.75
0.69, -0.74, -0.20, -9.29, 9.69, -8.52
0.65, -0.74, -0.17, -23.68, -2.42, -14.50
0.65, -0.68, -0.18, -34.16, -11.60, -11.30
0.72, -0.59, -0.24, -39.79, -27.71, -5.40
0.80, -0.51, -0.33, -41.51, -48.60, 1.24
0.83, -0.45, -0.44, -36.39, -64.00, 8.51
0.82, -0.42, -0.53, -27.50, -64.00, 10.79
0.75, -0.41, -0.59, -14.67, -64.00, 11.62
0.67, -0.43, -0.68, -2.16, -46.61, 15.60
0.62, -0.50, -0.70, 6.47, -11.82, 13.62
0.57, -0.56, -0.64, 9.80, 27.31, 12.83
0.57, -0.63, -0.55, 8.43, 53.59, 8.37
0.59, -0.68, -0.48, 5.31, 60.62, 5.88
0.65, -0.72, -0.43, 2.37, 56.79, 4.58
0.69, -0.76, -0.37, 2.69, 37.58, -2.64
0.65, -0.79, -0.31, -7.03, 26.80, -9.05
0.61, -0.79, -0.23, -12.20, 20.23, -14.04
0.63, -0.72, -0.25, -22.93, 1.13, -14.69
0.67, -0.65, -0.23, -36.90, -14.68, -10.76
0.71, -0.56, -0.23, -42.76, -29.11, -7.19
0.74, -0.48, -0.33, -44.17, -41.06, -0.22
0.78, -0.43, -0.43, -41.03, -57.88, 5.70
0.78, -0.40, -0.51, -32.41, -64.00, 10.62
0.71, -0.38, -0.60, -15.94, -46.82, 14.35
0.65, -0.39, -0.70, -0.74, -21.90, 13.80
0.57, -0.45, -0.71, 11.03, -1.00, 18.83
0.57, -0.53, -0.64, 17.67, 22.41, 17.18
0.57, -0.62, -0.53, 15.90, 40.93, 13.37
0.57, -0.67, -0.43, 13.73, 51.85, 10.98
0.61, -0.72, -0.38, 8.89, 46.53, 5.32
0.63, -0.78, -0.35, 2.44, 28.40, -4.03
