ax,ay,az,gx,gy,gz
-0.25, -0.91, -0.67, -7.59, -35.57, -7.27
-0.43, -0.99, -0.69, -6.17, -5.47, -22.25
-0.31, -0.94, -0.65, 1.34, 7.52, -35.21
-0.08, -0.85, -0.61, 8.67, 1.86, -39.47
0.14, -0.83, -0.58, 8.12, -5.29, -35.44
0.29, -0.78, -0.54, 5.05, 8.00, -21.06
0.41, -0.72, -0.49, 2.47, 13.72, -14.30
0.41, -0.66, -0.41, -3.33, 13.87, -2.56
0.44, -0.66, -0.36, -13.14, 28.98, 12.51
0.46, -0.68, -0.34, -22.14, 25.54, 17.89
0.37, -0.70, -0.34, -32.48, 26.13, 28.45
0.30, -0.71, -0.36, -34.02, 24.56, 34.17
0.25, -0.71, -0.40, -31.14, 9.52, 34.26
0.15, -0.75, -0.47, -24.95, -9.68, 27.68
-0.03, -0.82, -0.55, -14.80, -36.92, 9.65
-0.28, -0.89, -0.66, -3.03, -37.49, -10.37
-0.42, -0.91, -0.70, -0.47, -12.08, -25.51
-0.32, -0.88, -0.62, 5.70, 6.67, -36.84
-0.09, -0.82, -0.57, 8.94, 5.46, -37.86
0.18, -0.81, -0.56, 7.88, 0.88, -29.35
0.37, -0.78, -0.53, 5.37, 2.39, -11.51
0.52, -0.72, -0.47, -0.83, 15.61, 1.38
0.55, -0.69, -0.38, -11.41, 18.86, 11.46
0.49, -0.71, -0.34, -23.75, 29.37, 20.39
0.41, -0.74, -0.35, -35.08, 29.24, 28.51
0.33, -0.74, -0.40, -37.47, 26.51, 33.80
0.27, -0.72, -0.45, -36.50, 21.61, 35.58
0.17, -0.76, -0.48, -30.90, 5.27, 27.97
0.01, -0.82, -0.54, -18.91, -14.69, 14.62
-0.19, -0.87, -0.62, -8.49, -21.57, -1.29
-0.37, -0.90, -0.68, -0.70, -14.22, -18.82
-0.35, -0.89, -0.63, 4.29, 5.24, -28.61
-0.18, -0.84, -0.57, 7.99, 2.54, -35.17
0.04, -0.82, -0.53, 8.37, -2.87, -32.06
0.27, -0.79, -0.51, 6.32, -0.48, -19.79
0.42, -0.72, -0.47, 3.26, 5.93, -8.89
0.47, -0.67, -0.40, -2.33, 3.79, 3.36
0.47, -0.67, -0.36, -14.95, 23.27, 16.68
0.43, -0.71, -0.33, -26.64, 24.43, 20.87
0.34, -0.73, -0.33, -35.53, 27.27, 30.26
0.29, -0.73, -0.39, -36.96, 15.89, 32.72
0.22, -0.74, -0.44, -31.85, 3.38, 28.30
0.07, -0.79, -0.54, -21.79, -14.93, 18.52
-0.13, -0.86, -0.61, -14.62, -19.97, 2.81
-0.31, -0.92, -0.65, -4.38, -17.10, -14.77
-0.33, -0.93, -0.66, 1.44, 4.35, -27.60
-0.18, -0.90, -0.61, 6.80, 3.52, -36.22
-0.00, -0.86, -0.55, 8.04, 6.00, -35.12
0.20, -0.84, -0.52, 7.33, 3.16, -29.74
0.33, -0.79, -0.48, 3.15, 7.13, -16.22
0.46, -0.72, -0.41, -5.15, 12.23, -4.27
0.50, -0.66, -0.34, -13.12, 11.69, 8.05
0.48, -0.65, -0.30, -22.10, 16.80, 16.82
0.40, -0.68, -0.33, -31.93, 17.54, 23.43
0.27, -0.69, -0.38, -36.21, 16.48, 29.15
0.19, -0.69, -0.44, -33.21, 8.94, 30.40
0.14, -0.72, -0.49, -27.41, -0.13, 26.18
0.01, -0.80, -0.55, -19.43, -17.17, 14.79
-0.12, -0.88, -0.59, -12.70, -14.54, 2.15
-0.22, -0.92, -0.62, -8.58, -6.81, -10.80
-0.19, -0.92, -0.63, -2.77, 13.01, -17.35
-0.02, -0.89, -0.59, 1.68, 14.26, -20.63
0.12, -0.85, -0.55, 3.74, 11.97, -19.41
0.23, -0.84, -0.52, 3.21, 8.50, -17.09
0.26, -0.83, -0.48, -1.59, 5.16, -15.48
0.24, -0.78, -0.43, -7.44, 5.52, -11.54
0.25, -0.74, -0.40, -14.61, 6.88, -5.21
0.29, -0.71, -0.37, -21.27, 12.09, 1.58
0.30, -0.70, -0.37, -25.37, 6.96, 6.29
0.26, -0.70, -0.42, -26.68, 3.47, 9.60
0.20, -0.71, -0.46, -24.77, 0.29, 9.81
0.12, -0.73, -0.48, -19.27, -2.71, 8.08
0.07, -0.77, -0.52, -17.72, -4.53, 7.02
0.05, -0.82, -0.54, -13.59, -6.61, 4.96
0.05, -0.83, -0.54, -10.55, -4.11, 2.95
0.08, -0.82, -0.52, -8.12, 0.22, 0.56
0.11, -0.80, -0.50, -7.46, 5.70, 0.48
0.15, -0.78, -0.49, -9.03, 9.75, 0.93
0.19, -0.78, -0.48, -11.75, 13.60, 3.43
0.21, -0.79, -0.48, -13.77, 12.64, 7.14
0.21, -0.77, -0.47, -15.41, 8.91, 7.89
0.20, -0.77, -0.47, -16.55, 6.51, 9.25
0.18, -0.79, -0.47, -16.76, 2.73, 8.18
0.14, -0.82, -0.48, -16.43, 3.01, 7.29
0.10, -0.84, -0.50, -14.39, 1.75, 3.49
0.08, -0.86, -0.51, -10.54, 0.96, -2.64
0.06, -0.90, -0.52, -5.16, -0.75, -6.91
0.05, -0.93, -0.53, -1.85, -5.76, -13.39
0.04, -0.94, -0.53, 1.94, -10.29, -20.41
0.02, -0.92, -0.53, 5.58, -9.20, -27.57
0.03, -0.88, -0.53, 6.24, -9.54, -32.13
0.08, -0.82, -0.51, 4.38, -3.06, -27.80
0.20, -0.76, -0.47, -1.08, 10.04, -16.45
0.33, -0.68, -0.38, -6.40, 11.04, -7.72
0.39, -0.62, -0.32, -13.81, 13.81, 5.86
0.42, -0.58, -0.33, -19.13, 10.35, 16.10
0.36, -0.59, -0.35, -27.24, 6.62, 21.63
0.24, -0.65, -0.40, -30.09, 9.16, 28.03
0.18, -0.67, -0.45, -28.63, 6.85, 31.79
0.15, -0.71, -0.48, -23.71, 1.86, 29.70
0.08, -0.80, -0.51, -17.42, -9.50, 20.47
-0.06, -0.92, -0.57, -9.56, -15.38, 7.25
-0.17, -1.01, -0.61, -4.54, -11.05, -8.58
-0.20, -1.03, -0.62, -2.25, 7.74, -18.83
-0.11, -0.97, -0.59, 2.26, 11.07, -31.12
0.03, -0.90, -0.55, 4.87, 7.16, -35.34
0.17, -0.87, -0.52, 2.06, 7.10, -27.69
0.31, -0.82, -0.48, -6.09, 16.88, -16.83
0.41, -0.73, -0.38, -12.26, 17.88, -5.35
0.45, -0.64, -0.32, -18.21, 14.15, 4.38
0.43, -0.61, -0.32, -22.98, 7.35, 11.71
0.33, -0.64, -0.36, -28.18, 5.25, 18.32
0.22, -0.69, -0.40, -30.27, 8.90, 23.62
0.16, -0.70, -0.44, -28.66, 10.43, 26.77
0.16, -0.73, -0.46, -24.88, 5.75, 25.54
0.12, -0.78, -0.49, -20.71, -1.51, 20.90
0.03, -0.88, -0.54, -12.41, -10.10, 10.75
-0.09, -0.96, -0.58, -8.03, -8.99, -1.61
-0.16, -1.00, -0.61, -3.84, 3.39, -14.41
-0.15, -0.97, -0.59, 0.07, 6.60, -27.23
-0.06, -0.91, -0.54, 5.03, 3.29, -34.83
0.04, -0.89, -0.53, 6.18, -3.15, -35.54
0.17, -0.86, -0.50, 1.35, 2.69, -27.40
0.29, -0.78, -0.44, -5.73, 18.25, -15.15
0.39, -0.67, -0.34, -9.56, 12.40, -8.44
