ax,ay,az,gx,gy,gz
-0.47,-1.08,-0.71,-6.37,-27.03,6.25
-0.69,-1.17,-0.74,1.16,-16.51,-19.56
-0.7,-1.12,-0.64,-4.39,4.09,-42.03
-0.58,-0.94,-0.58,-2.44,2.01,-64.0
-0.43,-0.79,-0.61,-2.07,20.39,-63.13
-0.1,-0.69,-0.56,-10.7,44.74,-40.98
0.2,-0.56,-0.45,-22.24,35.02,-21.12
0.34,-0.37,-0.47,-28.8,27.99,2.85
0.46,-0.23,-0.52,-37.55,25.48,40.56
0.46,-0.22,-0.51,-34.62,6.87,50.11
0.24,-0.32,-0.54,-30.02,-1.62,56.53
0.03,-0.5,-0.61,-33.87,-8.91,64.0
-0.05,-0.72,-0.65,-23.23,-11.64,63.22
-0.2,-0.9,-0.66,-11.2,-31.75,42.07
-0.54,-1.08,-0.68,-6.34,-38.61,11.3
-0.82,-1.18,-0.72,3.54,-26.52,-14.81
-0.88,-1.12,-0.67,-0.54,2.11,-35.51
-0.71,-0.98,-0.58,4.35,10.25,-58.45
-0.45,-0.84,-0.62,7.22,16.42,-64.0
-0.24,-0.77,-0.59,-5.48,35.77,-58.98
0.12,-0.66,-0.52,-11.95,45.72,-29.85
0.31,-0.46,-0.49,-18.19,19.33,-18.16
0.36,-0.28,-0.54,-23.14,24.3,11.86
0.46,-0.21,-0.52,-33.87,22.85,43.21
0.43,-0.27,-0.49,-27.43,10.24,43.91
0.22,-0.4,-0.53,-27.45,8.49,55.37
0.04,-0.59,-0.63,-33.09,-0.2,64.0
-0.07,-0.76,-0.68,-19.12,-11.45,61.31
-0.24,-0.9,-0.68,-8.97,-23.96,36.04
-0.58,-1.06,-0.68,-5.65,-29.67,4.8
-0.83,-1.13,-0.68,-1.71,-8.55,-21.71
-0.77,-1.05,-0.64,-1.4,11.8,-37.76
-0.58,-0.88,-0.58,1.61,3.02,-60.51
-0.42,-0.79,-0.62,4.81,5.84,-64.0
-0.2,-0.7,-0.61,-4.63,35.82,-47.15
0.17,-0.58,-0.49,-18.97,44.43,-17.96
0.42,-0.4,-0.49,-27.64,30.31,5.33
0.54,-0.24,-0.54,-37.49,30.81,41.5
0.55,-0.24,-0.53,-38.19,15.5,60.88
0.35,-0.35,-0.54,-35.68,4.89,64.0
0.11,-0.55,-0.61,-42.12,-6.78,64.0
-0.05,-0.71,-0.66,-32.25,-10.91,64.0
-0.28,-0.88,-0.68,-23.05,-50.08,42.01
-0.61,-1.03,-0.73,-4.14,-42.12,15.46
-0.84,-1.11,-0.75,4.84,-37.46,-21.88
-0.95,-1.1,-0.64,0.62,4.79,-43.61
-0.74,-0.97,-0.55,2.97,22.2,-64.0
-0.43,-0.82,-0.58,0.99,43.96,-64.0
-0.05,-0.7,-0.59,-5.73,54.89,-47.0
0.18,-0.6,-0.49,-22.56,30.34,-30.04
0.38,-0.46,-0.51,-29.19,35.34,4.94
0.58,-0.31,-0.54,-35.71,21.75,35.09
0.53,-0.25,-0.52,-38.27,4.01,44.82
0.27,-0.35,-0.57,-30.73,-2.64,52.48
0.01,-0.5,-0.64,-29.34,1.17,57.38
-0.12,-0.7,-0.64,-24.61,4.38,56.0
-0.27,-0.89,-0.62,-17.42,-18.69,29.66
-0.59,-1.04,-0.69,-7.26,-28.29,3.22
-0.79,-1.07,-0.74,1.45,-18.57,-23.7
-0.78,-1.01,-0.65,0.64,12.89,-42.28
-0.6,-0.9,-0.57,5.28,14.76,-64.0
-0.43,-0.79,-0.58,1.53,10.77,-64.0
